File Path| Bundle Name| Line Number| Line Content| CSS Variable Name
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 303| border-top: 1px solid #eeeeee;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 340| color: #999999;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 344| color: #428bca;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 348| color: #3071a9;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 352| color: #c09853;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 356| color: #a47e3c;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 360| color: #b94a48;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 364| color: #953b39;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 368| color: #468847;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 372| color: #356635;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 376| color: #3a87ad;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 380| color: #2d6987;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 439| color: #999999;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 507| border-bottom: 1px solid #eeeeee;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 565| border-bottom: 1px dotted #999999;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 576| border-left: 5px solid #eeeeee;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 592| color: #999999;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 602| border-right: 5px solid #eeeeee;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 643| color: #c7254e;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 645| background-color: #f9f2f4;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 655| color: #333333;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 658| background-color: #f5f5f5;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 659| border: 1px solid #cccccc;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1027| border-top: 1px solid #dddddd;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1032| border-bottom: 2px solid #dddddd;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1045| border-top: 2px solid #dddddd;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1049| background-color: #ffffff;| --litmos-none-background,--litmos-navbar-text-color,--white-background
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1062| border: 1px solid #dddddd;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1071| border: 1px solid #dddddd;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1081| background-color: #f9f9f9;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1086| background-color: #f5f5f5;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1112| background-color: #f5f5f5;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1127| background-color: #dff0d8;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1134| background-color: #d0e9c6;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1149| background-color: #f2dede;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1156| background-color: #ebcccc;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1171| background-color: #fcf8e3;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1178| background-color: #faf2cc;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1187| border: 1px solid #dddddd;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1242| color: #333333;| 
